name,local_name
NSIC 2011 Rc 238,Tubigan 21
NSIC 2011 Rc 240,Tubigan 22
NSIC 2012 Rc 298,Tubigan 23
NSIC 2012 Rc 300,Tubigan 24
NSIC 2012 Rc 302,Tubigan 25
NSIC 2013 Rc 308,Tubigan 26
NSIC 2014 Rc 352,Tubigan 27
NSIC 2014 Rc 354,Tubigan 28
NSIC 2014 Rc 356,Tubigan 29
NSIC 2014 Rc 358,Tubigan 30
NSIC 2014 Rc 360,Tubigan 31
NSIC 2015 Rc 394,Tubigan 32
NSIC 2015 Rc 396,Tubigan 33
NSIC 2015 Rc 398,Tubigan 34
NSIC 2015 Rc 400,Tubigan 35
NSIC 2015 Rc 402,Tubigan 36
NSIC 2016 Rc 436,Tubigan 37
NSIC 2016 Rc 438,Tubigan 38
NSIC 2016 Rc 440,Tubigan 39
NSIC 2016 Rc 442,Tubigan 40
NSIC 2018 Rc 506,Tubigan 41
NSIC 2018 Rc 508,Tubigan 42
NSIC 2018 Rc 510,Tubigan 43
NSIC 2018 Rc 512,Tubigan 44
NSIC 2018 Rc 514,Tubigan 45
NSIC 2019 Rc 580,Tubigan 46
NSIC 2019 Rc 582,Tubigan 47
NSIC 2021 Rc 622,Tubigan 48
NSIC 2021 Rc 624,Tubigan 49
NSIC 2021 Rc 626,Tubigan 50
NSIC 2021 Rc 628,Tubigan 51
NSIC 2021 Rc 630,Tubigan 52
NSIC 2021 Rc 632,Tubigan 53
NSIC 2021 Rc 634,Tubigan 54
NSIC 2021 Rc 636,Tubigan 55
NSIC 2022 Rc 670,Tubigan 56
NSIC 2022 Rc 672,Tubigan 57
NSIC 2022 Rc 674,Tubigan 58
NSIC 2022 Rc 676,Tubigan 59
NSIC 2022 Rc 678,Tubigan 60
NSIC 2022 Rc 680,Tubigan 61
NSIC 2023 Rc 738,Tubigan 62
NSIC 2023 Rc 740,Tubigan 63
NSIC 2011 Rc 242 SR,Japonica 2
NSIC 2012 Rc 304 SR,Japonica 3
